floor_id,n_customer,vote_hot_rate,vote_cold_rate,voc_all_rate,VOC_toilet_rate,VOC_lamp_rate,VOC_electric_rate,VOC_door_rate,VOC_dirty_rate,VOC_noise_rate
TG_0002198,12,25.0%,8.3%,41.7%,,,,16.7%,,8.3%
TG_0002199,29,,,17.2%,,,,6.9%,,
TG_0002204,3,0.0%,66.7%,66.7%,,,,,,
TG_0002209,18,,,,,,,,,
TG_0002215,34,182.4%,20.6%,102.9%,,,,,,2.9%
TG_0002223,2,,,,,,,,,
TG_0002228,3,,,66.7%,,,66.7%,,,
TG_0002230,13,15.4%,0.0%,23.1%,,,,7.7%,,
TG_0002231,18,,,,,,,,,
TG_0002232,6,,,,,,,,,
TG_0002235,2,,,,,,,,,
TG_0002236,3,,,,,,,,,
TG_0002237,8,,,12.5%,,,,,,
TG_0002238,16,37.5%,0.0%,50.0%,,,12.5%,,25.0%,
TG_0002239,21,33.3%,76.2%,81.0%,,,,,4.8%,
TG_0002240,25,4.0%,0.0%,4.0%,,,,,,
TG_0002242,44,9.1%,20.5%,27.3%,,,,,4.5%,
TG_0002243,34,70.6%,0.0%,35.3%,,,,,,
TG_0002244,28,,,17.9%,,7.1%,,,3.6%,
TG_0002250,3,,,,,,,,,
TG_0002251,5,,,,,,,,,
TG_0002252,9,,,22.2%,,,,,,11.1%
TG_0002254,10,20.0%,0.0%,30.0%,,,,,10.0%,
TG_0002256,6,,,,,,,,,
TG_0002258,27,100.0%,0.0%,74.1%,,,,,,
TG_0002265,1,,,,,,,,,
TG_0002268,20,,,5.0%,,,,,,5.0%
TG_0002270,14,,,7.1%,,,,,,
TG_0002280,2,,,50.0%,,,,,,
TG_0002281,12,,,,,,,,,
TG_0002282,9,11.1%,0.0%,11.1%,,,,,,
TG_0002285,31,6.5%,0.0%,9.7%,,,,3.2%,,
TG_0002289,83,37.3%,3.6%,21.7%,,,,,,
TG_0002336,1,,,,,,,,,
TG_0002338,2,,,,,,,,,
TG_0002339,13,,,15.4%,,,,,,
TG_0002340,26,7.7%,3.8%,11.5%,,,,,,
TG_0002341,40,107.5%,25.0%,70.0%,,,,,,
TG_0002342,37,110.8%,13.5%,89.2%,,,,8.1%,,
TG_0002343,57,73.7%,14.0%,45.6%,,,,,,
TG_0002344,31,332.3%,54.8%,209.7%,,,,,,
TG_0002345,39,76.9%,10.3%,66.7%,,5.1%,,,,
TG_0002346,35,91.4%,37.1%,91.4%,,,,,,5.7%
TG_0002348,34,114.7%,8.8%,79.4%,,,,,,2.9%
TG_0002353,1,,,,,,,,,
TG_0002354,7,,,,,,,,,
TG_0002543,1,,,,,,,,,
TG_0002545,22,,,,,,,,,
TG_0002546,22,,,,,,,,,
TG_0002547,7,,,14.3%,,,,14.3%,,
TG_0002550,15,,,13.3%,,13.3%,,,,
